id,name,board,logo
1,ISC,BHM,Database/Club/logo/default.jpg
2,PFC,BRCA,Database/Club/logo/default.jpg
3,FACC,BRCA,Database/Club/logo/default.jpg
4,Design,BRCA,Database/Club/logo/default.jpg
5,Drama,BRCA,Database/Club/logo/default.jpg
6,Dance,BRCA,Database/Club/logo/default.jpg
7,Music,BRCA,Database/Club/logo/default.jpg
8,Literary,BRCA,Database/Club/logo/default.jpg
9,Hindi Samiti,BRCA,Database/Club/logo/default.jpg
10,Debating,BRCA,Database/Club/logo/default.jpg
11,Quizzing,BRCA,Database/Club/logo/default.jpg
12,Spic Macay,BRCA,Database/Club/logo/default.jpg
13,BHM,BHM,Database/Club/logo/default.jpg
14,BSW,BSW,Database/Club/logo/default.jpg
