id,college_name,college_city,college_state
1,"SV Degree College, Kadapa",kadapa,Andhra Pradesh
2,"SV PG College, Kadapa",kadapa,Andhra Pradesh
3,"Annamacharya College of Pharmacy, Rajampet",kadapa,Andhra Pradesh
4,"Indira Priyadarshini College of Nursing, Kadapa",kadapa,Andhra Pradesh
5,"Sri P Rami Reddy Memorial College, Cuddapah",kadapa,Andhra Pradesh
6,"Gouthami Institute of Technology and Management for Women (GITAMW), Kadapa",kadapa,Andhra Pradesh
7,KANDULA SREENIVASA REDDY MEMORIAL COLLEGE OF ENGINEERING,kadapa,Andhra Pradesh
8,Annamacharya Institute of Technology & Science,kadapa,Andhra Pradesh
9,"Sri Sai Institute of Technology and Science, kadapa",kadapa,Andhra Pradesh
10,"Rosamma Minority College of Education, Kadapa",kadapa,Andhra Pradesh
11,"Sri Malayala Swamy College of Education, Proddatur",kadapa,Andhra Pradesh
12,"Sarada College of Education, Kadapa",kadapa,Andhra Pradesh
13,"Sri Venkateswara College of Education, Kadapa",kadapa,Andhra Pradesh
14,"Sri Rajeswari College of Education, Kadapa",kadapa,Andhra Pradesh
15,"Penubala College of Education, Kadapa",kadapa,Andhra Pradesh
16,"Residency College of Education, Kadapa",kadapa,Andhra Pradesh
17,"Mahammod College of Education, Kadapa",kadapa,Andhra Pradesh
18,"Sri Narayanadri College of Education, Kadapa",kadapa,Andhra Pradesh
19,"Mother Theresa College of Education, Proddatur",kadapa,Andhra Pradesh
20,"Hannamma Christial College of Education, Proddatura",kadapa,Andhra Pradesh
21,"Bharath College of Education, Kadapa",kadapa,Andhra Pradesh
22,"SBVR College of Education, Kadapa",kadapa,Andhra Pradesh
23,"SSR College of Education for Women, Proddatur",kadapa,Andhra Pradesh
24,"Vidya Sadhana College of Education, Kadapa",kadapa,Andhra Pradesh
25,"VPR College of Education, Kamalapuram",kadapa,Andhra Pradesh
26,"Prasad College of Education, Kadapa",kadapa,Andhra Pradesh
27,"Panchasheela College of Education, Proddatur",kadapa,Andhra Pradesh
28,"Udaya Sandya College of Education, Proddatur",kadapa,Andhra Pradesh
29,"Akshaya Bharathi Institute of Technology, Kadapa",kadapa,Andhra Pradesh
30,"Srinivasa Institute of Technology And Sciences, Kadapa",kadapa,Andhra Pradesh
31,"College of Veterinary Science, Sri Venkateswara Veterinary University, Proddutur",kadapa,Andhra Pradesh
32,"Government Degree College, Rajampet",kadapa,Andhra Pradesh
33,"Narayanadri Institute of Science and Technology, Rajampet",kadapa,Andhra Pradesh
34,"Horticulture College & Research Institute, Anantharajupet",kadapa,Andhra Pradesh
35,"Sri Bijivemula Veera Reddy (SBVR) College of Education, Gopavaram",kadapa,Andhra Pradesh
36,"SKR & SKR Government College for Women, Kadapa",kadapa,Andhra Pradesh
37,"SCNR Government Degree College, Proddatur",kadapa,Andhra Pradesh
38,"Loyola Degree College (YSRR), Pulivendula",kadapa,Andhra Pradesh
39,"Government Degree College, Jammalamadugu",kadapa,Andhra Pradesh
40,"Annamacharya College of Education, Rajampet",kadapa,Andhra Pradesh
41,"Rajiv Gandhi Institute of Medical Sciences, Kadapa",kadapa,Andhra Pradesh
42,"S.V. College of Higher Education, Kadapa",kadapa,Andhra Pradesh
43,"Nagarjuna Degree College for Women, Kadapa",kadapa,Andhra Pradesh
44,"Government Degree College, Porumamilla",kadapa,Andhra Pradesh
45,"JNTU College of Engineering, Pulivendula",kadapa,Andhra Pradesh
46,"Sri CSSR & SRRM Degree College, Kamalapuram",kadapa,Andhra Pradesh
47,"Government Degree College, Railway Kodur",kadapa,Andhra Pradesh
48,"Government Degree College, Rayachoti",kadapa,Andhra Pradesh
49,"SRNB Degree College, Badvel",kadapa,Andhra Pradesh
50,"Government Degree College for Men, Kadapa",kadapa,Andhra Pradesh
51,"YSR Engineering College of Yogi Vemana University, Proddatur",kadapa,Andhra Pradesh
52,"Crescent College of Nursing, Kadapa",kadapa,Andhra Pradesh
53,Dr. Helen College of Nursing CSI Campbell Hospital,kadapa,Andhra Pradesh
54,K.S.R.M College of Engineering,kadapa,Andhra Pradesh
55,Other,kadapa,Andhra Pradesh
56,"Audisankara Institute of Technology (ASIT), Gudur",Gudur,Andhra Pradesh
57,"Amara Institute of Engineering & Technology (AIET), Guntur",Gudur,Andhra Pradesh
58,"Audisankara College of Education, Gudur",Gudur,Andhra Pradesh
